LGA,LGA_Code,Decile,Median,90th Percentile
Alpine,20110,9,17.78,44.53
Ararat,20260,4,9.77,35.4
Ballarat,20570,6,11.23,21.88
Banyule,20660,10,11.42,22.6
Bass Coast,20740,7,13.48,31.72
Baw Baw,20830,7,12.83,29.67
Bayside,20910,10,12.73,25.85
Benalla,21010,5,12.58,35.36
Boroondara,21110,10,12.25,24.68
Brimbank,21180,2,12.02,24.56
Buloke,21270,5,25.68,48.56
Campaspe,21370,4,11.8,31.05
Cardinia,21450,8,13.91,30.66
Casey,21610,7,12.97,25.64
Central Goldfields,21670,2,12.4,38.77
Colac-Otway,21750,5,12.13,40.51
Corangamite,21830,6,18.42,38.61
Darebin,21890,8,11.08,23.4
East Gippsland,22110,4,14.25,36.31
Frankston,22170,7,11.6,22.31
Gannawarra,22250,4,17.92,41.9
Glen Eira,22310,10,12.06,24.67
Glenelg,22410,4,10.21,28.8
Golden Plains,22490,9,20.02,33.1
Greater Bendigo,22620,6,12.9,28.86
Greater Dandenong,22670,2,12.23,23.58
Greater Geelong,22750,8,11.5,22.7
Greater Shepparton,22830,3,11.15,25.79
Hepburn,22910,8,17.46,33.32
Hindmarsh,22980,3,18.26,49.16
Hobsons Bay,23110,8,13.67,26.86
Horsham,23190,6,8.85,23.31
Hume,23270,3,13.42,27.3
Indigo,23350,9,23.26,36.07
Kingston,23430,9,12.68,24.45
Knox,23670,9,11.93,23.43
Latrobe,23810,3,10.5,23.4
Loddon,23940,3,23.76,41.76
Macedon Ranges,24130,10,13.68,28.58
Manningham,24210,10,12.85,26.02
Mansfield,24250,9,18.25,55.78
Maribyrnong,24330,8,12.73,25.48
Maroondah,24410,9,11.63,24.21
Melbourne,24600,8,10.3,23.12
Melton,24650,6,14.15,29.08
Mildura,24780,3,10.36,24.01
Mitchell,24850,7,14.57,34.35
Moira,24900,4,13.21,36.01
Monash,24970,9,12.6,25.08
Moonee Valley,25060,9,12.99,24.51
Moorabool,25150,8,15.4,32.9
Moreland,25250,8,12.33,23.9
Mornington Peninsula,25340,9,12.78,27.33
Mount Alexander,25430,8,15.94,34.47
Moyne,25490,9,17.88,32.17
Murrindindi,25620,7,21.55,43.27
Nillumbik,25710,10,15.27,29.81
Northern Grampians,25810,4,11.18,37.13
Port Phillip,25900,10,11.87,23.56
Pyrenees,25990,4,21.12,40.92
Queenscliffe,26080,10,14.19,22.66
South Gippsland,26170,7,16.31,34.94
Southern Grampians,26260,7,10.92,34.01
Stonnington,26350,10,12.08,23.75
Strathbogie,26430,6,21.78,40.73
Surf Coast,26490,10,12.62,30.7
Swan Hill,26610,3,10.27,29.66
Towong,26670,7,23.57,55.96
Unincorporated Vic,29399,8,20.97,57.04
Wangaratta,26700,6,10.75,30.23
Warrnambool,26730,7,9.38,22.27
Wellington,26810,5,13.89,37.56
West Wimmera,26890,6,21.72,46.99
Whitehorse,26980,9,11.77,23.73
Whittlesea,27070,6,12.58,25.75
Wodonga,27170,5,10.97,26.55
Wyndham,27260,8,12.35,26.06
Yarra,27350,9,10.68,23.19
Yarra Ranges,27450,9,14.45,31.13
Yarriambiack,27630,3,22.72,49.87
