LGA_CODE25,LGA_NAME25,STE_CODE21,AREASQKM,Hospital_count,Score,Decile,Hospital_density
20110,Alpine,2,4788.157,4,1028,9,0.000835394
20260,Ararat,2,4211.1172,3,955,4,0.0007124
20570,Ballarat,2,739.0321,4,986,6,0.005412485
20660,Banyule,2,62.5402,7,1058,10,0.111928008
20740,Bass Coast,2,865.8094,2,993,7,0.002309977
20830,Baw Baw,2,4027.6287,3,1003,7,0.000744855
20910,Bayside (Vic.),2,37.2111,6,1090,10,0.16124221
21010,Benalla,2,2352.6398,1,968,5,0.000425054
21110,Boroondara,2,60.1776,13,1090,10,0.216027226
21180,Brimbank,2,123.3991,2,912,2,0.016207574
21270,Buloke,2,7998.247,6,975,5,0.000750164
21370,Campaspe,2,4519.073,7,965,4,0.00154899
21450,Cardinia,2,1282.5671,2,1021,8,0.001559373
21610,Casey,2,409.4287,5,995,7,0.012212139
21670,Central Goldfields,2,1532.7843,3,898,2,0.001957223
21750,Colac Otway,2,3437.47,4,973,5,0.001163647
21830,Corangamite,2,4407.492,6,985,6,0.001361318
21890,Darebin,2,53.4712,3,1018,8,0.056104969
22110,East Gippsland,2,20939.5016,6,963,4,0.00028654
22170,Frankston,2,129.5981,6,1003,7,0.046296975
22250,Gannawarra,2,3737.5979,4,952,4,0.001070206
22310,Glen Eira,2,38.6908,9,1075,10,0.232613438
22410,Glenelg,2,6218.7884,6,952,4,0.000964818
22490,Golden Plains,2,2703.3899,,1040,9,0
22620,Greater Bendigo,2,2999.9717,7,985,6,0.002333355
22670,Greater Dandenong,2,129.5466,4,887,2,0.03087692
22750,Greater Geelong,2,1247.9872,6,1007,8,0.004807742
22830,Greater Shepparton,2,2421.9092,4,944,3,0.00165159
22910,Hepburn,2,1472.9843,3,1006,8,0.002036682
22980,Hindmarsh,2,7524.1823,5,940,3,0.000664524
23110,Hobsons Bay,2,64.2405,2,1021,8,0.031133008
23190,Horsham,2,4266.769,1,990,6,0.000234369
23270,Hume,2,503.8488,4,941,3,0.00793889
23350,Indigo,2,2040.471,2,1029,9,0.000980166
23430,Kingston (Vic.),2,91.3676,3,1044,9,0.032834396
23670,Knox,2,113.9114,4,1042,9,0.03511501
23810,Latrobe (Vic.),2,1425.613,3,931,3,0.002104358
23940,Loddon,2,6696.4447,4,948,3,0.000597332
24130,Macedon Ranges,2,1748.284,1,1063,10,0.000571989
24210,Manningham,2,113.3479,2,1056,10,0.017644791
24250,Mansfield,2,3843.8535,2,1028,9,0.000520311
24330,Maribyrnong,2,31.2258,6,1010,8,0.1921488
24410,Maroondah,2,61.4097,4,1041,9,0.06513629
24600,Melbourne,2,37.5452,22,1017,8,0.585960389
24650,Melton,2,527.5374,3,985,6,0.005686801
24700,Merri-bek,2,50.9522,3,940,3,0.058878714
24780,Mildura,2,22081.9206,5,1000,7,0.00022643
24850,Mitchell,2,2862.0837,4,958,4,0.001397583
24900,Moira,2,4045.9201,6,1042,9,0.001482975
24970,Monash,2,81.4829,10,1041,9,0.122725136
25060,Moonee Valley,2,43.1384,,1017,8,0
25150,Moorabool,2,2110.5504,2,1027,8,0.00094762
25340,Mornington Peninsula,2,723.992,5,1038,9,0.006906154
25430,Mount Alexander,2,1529.6183,3,1007,8,0.001961274
25490,Moyne,2,5481.686,3,1029,9,0.000547277
25620,Murrindindi,2,3879.7505,4,1005,7,0.001030994
25710,Nillumbik,2,432.3373,,1093,10,0
25810,Northern Grampians,2,5729.8765,3,951,4,0.000523571
25900,Port Phillip,2,20.6141,3,1061,10,0.145531457
25990,Pyrenees,2,3434.5687,2,959,4,0.000582315
26080,Queenscliffe,2,8.6166,,1082,10,0
26170,South Gippsland,2,3296.3307,5,1003,7,0.001516838
26260,Southern Grampians,2,6654.0186,4,994,7,0.00060114
26350,Stonnington,2,25.651,6,1084,10,0.233909009
26430,Strathbogie,2,3303.2568,1,982,6,0.000302732
26490,Surf Coast,2,1552.944,3,1086,10,0.001931815
26610,Swan Hill,2,6115.5373,6,941,3,0.000981108
26670,Towong,2,6675.1725,4,1001,7,0.000599235
26700,Wangaratta,2,3645.1096,3,988,6,0.000823021
26730,Warrnambool,2,120.9487,2,995,7,0.016535936
26810,Wellington,2,10817.4231,6,973,5,0.000554661
26890,West Wimmera,2,9108.6794,2,991,6,0.000219571
26980,Whitehorse,2,64.2801,7,1043,9,0.108898399
27070,Whittlesea,2,489.6938,3,990,6,0.006126277
27170,Wodonga,2,433.0021,3,973,5,0.006928373
27260,Wyndham,2,542.0943,4,1006,8,0.00737879
27350,Yarra,2,19.5421,7,1046,9,0.358201012
27450,Yarra Ranges,2,2468.2052,2,1041,9,0.000810305
27630,Yarriambiack,2,7325.797,5,946,3,0.00068252
29399,Unincorporated Vic,2,283.1903,,1012,8,0
